Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0100.a1.txt,1533.052,1223.629,801.688,534.459,0,3,0,711
0101.a1.txt,1166.876,1242.158,589.711,840.652,1,1,0,797
0102.a1.txt,1485.03,1197.605,682.635,479.042,1,0,0,835
0103.a1.txt,1097.561,1363.636,598.67,576.497,1,8,1,902
0104.a1.txt,1320.988,1197.531,567.901,679.012,0,3,2,810
0105.a1.txt,1251.549,1400.248,619.579,644.362,2,7,2,807
0106.a1.txt,1541.307,1294.698,838.471,875.462,1,0,0,811
0107.a1.txt,1211.699,1448.468,891.365,612.813,0,5,0,718
0108.a1.txt,1248.357,1327.201,446.781,630.749,1,3,0,761
0109.a1.txt,1295.216,1353.559,711.785,676.779,0,1,0,857
0110.a1.txt,1437.741,1399.23,834.403,667.522,1,1,0,779
0111.a1.txt,1432.161,1381.91,703.518,716.08,0,0,1,796
0112.a1.txt,1314.217,1278.375,788.53,681.004,0,2,1,837
0113.a1.txt,1349.507,1281.274,735.406,894.617,0,9,2,1319
0114.a1.txt,1196.911,1531.532,617.761,913.771,0,2,0,777
0115.a1.txt,1377.953,1154.856,813.648,800.525,0,3,1,762
0116.a1.txt,1338.235,1426.471,632.353,852.941,0,1,0,680
0118.a1.txt,1304.348,1317.523,632.411,658.762,0,1,1,759
0119.a1.txt,1272.04,1385.39,793.451,730.479,0,2,0,794
0120.a1.txt,1293.661,1474.774,672.704,827.943,4,1,0,773
0121.a1.txt,1386.935,1366.834,703.518,633.166,0,1,3,995
0122.a1.txt,1548.947,1400.248,693.928,706.32,0,1,1,807
0123.a1.txt,1245.235,1359.593,597.205,775.095,1,2,0,787
0124.a1.txt,1631.753,1069.46,738.699,595.369,0,4,3,907
0125.a1.txt,1828.839,1113.716,844.08,586.166,0,4,0,853
0127.a1.txt,1141.304,1426.63,611.413,855.978,0,4,0,736
0128.a1.txt,1362.53,1216.545,644.769,729.927,0,0,0,822
0130.a1.txt,1401.028,1131.105,874.036,681.234,1,0,1,778
0131.a1.txt,1374.346,1479.058,785.34,510.471,0,1,0,764
0133.a1.txt,1108.462,1370.679,560.191,822.408,0,2,0,839
0134.a1.txt,1355.932,1246.973,726.392,1162.228,0,0,0,826
0135.a1.txt,1551.481,902.68,846.262,648.801,0,2,4,709
0136.a1.txt,1491.525,1209.04,553.672,655.367,0,5,0,885
0137.a1.txt,1109.726,1234.414,822.943,847.88,0,5,2,802
0138.a1.txt,1370.869,1272.95,758.874,722.154,1,1,0,817
0139.a1.txt,1078.68,1573.604,532.995,685.279,0,5,0,788
0140.a1.txt,1457.696,1314.985,795.107,509.684,5,12,0,981
0142.a1.txt,1576.819,1307.278,768.194,336.927,0,4,3,742
0143.a1.txt,1435.644,1287.129,668.317,705.446,1,1,1,808
0144.a1.txt,1125.32,1253.197,677.749,792.839,1,1,3,782
0145.a1.txt,1602.41,1180.723,674.699,734.94,0,6,0,830
0146.a1.txt,1171.171,1544.402,566.281,643.501,0,0,0,777
0148.a1.txt,1382.008,1199.478,912.647,704.042,0,2,0,767
0149.a1.txt,1243.926,1243.926,738.581,738.581,1,8,0,1029
0151.a1.txt,968.17,1578.249,530.504,742.706,1,1,0,754
0152.a1.txt,1389.497,1258.206,733.042,678.337,0,3,0,914
0155.a1.txt,1028.152,1554.468,734.394,820.073,0,0,0,817
0156.a1.txt,968.17,1485.411,636.605,755.968,1,4,0,754
0157.a1.txt,1131.222,1572.398,542.986,486.425,0,1,0,884
0158.a1.txt,1181.486,1522.533,633.374,645.554,0,0,0,821
0159.a1.txt,1088.271,1378.476,568.319,737.606,0,3,1,827
0161.a1.txt,1493.671,1202.532,886.076,468.354,0,2,0,790
0162.a1.txt,1210.269,1259.169,660.147,611.247,0,1,1,818
0163.a1.txt,1356.589,1124.031,568.475,956.072,0,0,0,774
0164.a1.txt,1622.971,1186.017,699.126,574.282,0,5,0,801
0165.a1.txt,1472.868,1107.42,675.526,553.71,1,2,0,903
0167.a1.txt,1268.499,1173.362,634.249,940.803,1,7,2,946
0168.a1.txt,1387.5,1337.5,587.5,875.0,0,0,0,800
0169.a1.txt,1395.909,1323.706,661.853,553.55,0,4,2,831
0171.a1.txt,1386.604,1351.351,611.046,705.053,0,5,1,851
0172.a1.txt,1319.797,1142.132,761.421,710.66,18,7,0,788
