Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0101.a3.txt,0.0175,0.0097,0.0065,0.004,1,0,2
0102.a3.txt,0.0157,0.0095,0.0047,0.0032,2,3,0
0103.a3.txt,0.014,0.0061,0.0072,0.004,9,1,2
0104.a3.txt,0.013,0.0087,0.0049,0.0042,4,1,0
0105.a3.txt,0.0129,0.0102,0.005,0.0062,2,3,2
0106.a3.txt,0.0178,0.0077,0.0062,0.0048,1,0,0
0107.a3.txt,0.0177,0.0082,0.0068,0.0038,4,2,0
0109.a3.txt,0.015,0.0099,0.0035,0.0032,2,0,0
0110.a3.txt,0.0161,0.01,0.0054,0.004,2,1,0
0111.a3.txt,0.0146,0.0088,0.004,0.003,3,1,2
0112.a3.txt,0.0173,0.0089,0.0061,0.0054,1,1,0
0115.a3.txt,0.017,0.009,0.0051,0.0054,0,4,0
0118.a3.txt,0.017,0.0074,0.0059,0.0023,0,3,1
0119.a3.txt,0.0172,0.009,0.006,0.0038,1,1,1
0120.a3.txt,0.0147,0.0071,0.0065,0.0038,0,3,0
0121.a3.txt,0.0142,0.0077,0.0036,0.0043,6,2,0
0122.a3.txt,0.0192,0.0089,0.0055,0.0037,0,1,1
0125.a3.txt,0.0167,0.0074,0.0082,0.0038,3,4,2
0127.a3.txt,0.0133,0.0071,0.0052,0.0038,10,0,1
0128.a3.txt,0.0147,0.0085,0.0038,0.0048,3,0,2
0130.a3.txt,0.0136,0.0085,0.0059,0.0062,11,0,0
0131.a3.txt,0.017,0.0084,0.0056,0.0056,0,3,0
0133.a3.txt,0.0176,0.0096,0.0052,0.0063,8,1,2
0134.a3.txt,0.0172,0.0081,0.0083,0.0049,0,1,0
0135.a3.txt,0.0157,0.0088,0.0051,0.0033,1,2,0
0136.a3.txt,0.0173,0.0105,0.0054,0.0038,0,3,0
0137.a3.txt,0.0161,0.0074,0.0064,0.0054,0,0,0
0138.a3.txt,0.0139,0.0086,0.0043,0.0024,0,0,0
0139.a3.txt,0.0152,0.0102,0.005,0.0026,0,3,0
0142.a3.txt,0.0114,0.0061,0.0052,0.0016,0,3,0
0143.a3.txt,0.0189,0.008,0.0051,0.0034,7,1,0
0146.a3.txt,0.0126,0.0116,0.005,0.0043,10,0,0
0149.a3.txt,0.029,0.0159,0.0079,0.0087,0,2,0
0155.a3.txt,0.0169,0.0096,0.0069,0.0042,2,4,1
0156.a3.txt,0.0158,0.0093,0.0046,0.0033,2,1,0
0157.a3.txt,0.0119,0.0099,0.0049,0.0046,0,0,0
0158.a3.txt,0.0131,0.0088,0.0056,0.0036,2,0,0
0159.a3.txt,0.0179,0.0091,0.0044,0.005,1,7,5
0161.a3.txt,0.0165,0.0074,0.0065,0.0038,0,0,0
0162.a3.txt,0.0188,0.007,0.0057,0.0033,0,0,0
0163.a3.txt,0.0151,0.0085,0.006,0.0053,0,0,2
0165.a3.txt,0.0156,0.0109,0.0055,0.0042,4,2,1
0168.a3.txt,0.0129,0.0093,0.0052,0.0037,1,14,2
0169.a3.txt,0.018,0.0087,0.0051,0.0037,2,2,7
0171.a3.txt,0.0167,0.012,0.0058,0.0051,2,5,0
0172.a3.txt,0.0177,0.0092,0.0065,0.0037,1,3,0
0173.a3.txt,0.0153,0.0086,0.0039,0.0037,1,0,1
0174.a3.txt,0.014,0.0078,0.0082,0.0032,1,0,1
0175.a3.txt,0.015,0.0093,0.0044,0.003,1,1,0
0176.a3.txt,0.0176,0.0088,0.0041,0.0034,3,1,0
0177.a3.txt,0.0166,0.0092,0.0062,0.0062,5,1,0
0178.a3.txt,0.0201,0.0097,0.0076,0.006,0,2,1
0179.a3.txt,0.0189,0.0098,0.0049,0.0034,2,5,2
0182.a3.txt,0.0178,0.0096,0.0055,0.0051,0,2,2
0185.a3.txt,0.0169,0.0096,0.0053,0.0042,3,0,2
0186.a3.txt,0.015,0.0081,0.0063,0.0058,2,2,0
0187.a3.txt,0.0134,0.0081,0.007,0.0038,11,2,1
0188.a3.txt,0.0136,0.0095,0.006,0.0043,2,0,0
0189.a3.txt,0.0214,0.0129,0.0063,0.0057,0,0,0
0190.a3.txt,0.0136,0.011,0.0047,0.0041,1,5,5
0192.a3.txt,0.0114,0.0096,0.0042,0.0018,1,2,0
0193.a3.txt,0.0162,0.0097,0.0047,0.0028,4,3,0
0195.a3.txt,0.0157,0.0078,0.0034,0.005,1,0,1
0196.a3.txt,0.0174,0.011,0.0065,0.0028,0,0,0
0198.a3.txt,0.0155,0.0087,0.004,0.0041,2,2,0
0199.a3.txt,0.0158,0.0092,0.0047,0.0045,0,0,1
0200.a3.txt,0.0169,0.0082,0.0057,0.0061,0,0,1
0202.a3.txt,0.0109,0.0064,0.0052,0.0023,0,0,0
0203.a3.txt,0.0198,0.0092,0.0062,0.0032,4,1,1
0204.a3.txt,0.0148,0.0082,0.0041,0.0038,2,4,1
0205.a3.txt,0.0202,0.0101,0.006,0.0044,2,2,1
0206.a3.txt,0.0169,0.0077,0.0045,0.0024,3,0,0
0207.a3.txt,0.0128,0.0097,0.0048,0.0024,0,7,0
0208.a3.txt,0.0164,0.0105,0.0039,0.0065,0,0,0
0209.a3.txt,0.0179,0.0092,0.0045,0.0022,3,5,4
0213.a3.txt,0.0153,0.0117,0.0067,0.0035,1,0,0
0214.a3.txt,0.0143,0.0081,0.0072,0.0046,6,0,4
0215.a3.txt,0.0204,0.0149,0.0054,0.005,2,11,5
0216.a3.txt,0.0197,0.0081,0.0058,0.0038,1,1,1
0218.a3.txt,0.0162,0.0104,0.0049,0.0029,0,9,1
0219.a3.txt,0.0163,0.0094,0.0043,0.0046,1,0,1
0221.a3.txt,0.0135,0.009,0.0041,0.0023,0,2,0
0222.a3.txt,0.0141,0.0099,0.0041,0.0033,2,0,1
0223.a3.txt,0.0157,0.0096,0.0052,0.0055,0,0,1
0224.a3.txt,0.0147,0.0076,0.0053,0.0037,8,3,3
0226.a3.txt,0.0176,0.0086,0.0045,0.0049,2,6,0
0227.a3.txt,0.014,0.008,0.0053,0.0036,1,2,1
0231.a3.txt,0.0181,0.0084,0.0054,0.0037,1,0,0
0232.a3.txt,0.0144,0.0105,0.0063,0.0036,1,1,1
0234.a3.txt,0.0136,0.0082,0.0044,0.0031,2,3,4
0235.a3.txt,0.0134,0.0092,0.0039,0.0029,1,2,1
0236.a3.txt,0.0124,0.0084,0.0039,0.0045,3,5,0
0237.a3.txt,0.0178,0.0076,0.0067,0.0028,0,3,1
0238.a3.txt,0.0146,0.0105,0.0047,0.0024,0,0,0
1003.a3.txt,0.0273,0.0143,0.009,0.0051,7,1,1
1005.a3.txt,0.0164,0.0092,0.0056,0.0039,0,1,0
1006.a3.txt,0.0168,0.0111,0.0071,0.0056,4,4,4
1007.a3.txt,0.0163,0.0094,0.0058,0.0049,0,1,0
1008.a3.txt,0.0152,0.0084,0.0049,0.0051,1,0,2
1009.a3.txt,0.0136,0.0083,0.0055,0.0025,0,4,1
1012.a3.txt,0.0158,0.0089,0.0055,0.0034,1,2,1
1013.a3.txt,0.0151,0.0085,0.0047,0.0031,1,1,1
1014.a3.txt,0.0156,0.0077,0.0045,0.0024,2,0,1
1017.a3.txt,0.0173,0.0113,0.0065,0.0051,0,0,0
1018.a3.txt,0.0143,0.0102,0.0051,0.0038,0,1,0
1020.a3.txt,0.0208,0.0117,0.0064,0.006,1,8,0
1021.a3.txt,0.0117,0.0086,0.0039,0.0029,1,2,2
1022.a3.txt,0.0163,0.0093,0.0051,0.0028,1,2,1
1023.a3.txt,0.0165,0.0094,0.0063,0.0079,3,0,0
1032.a3.txt,0.0131,0.0111,0.0067,0.0058,0,0,0
1034.a3.txt,0.0149,0.0079,0.0046,0.0023,1,2,1
1036.a3.txt,0.0083,0.0039,0.0029,0.0019,1,1,0
1041.a3.txt,0.0147,0.0104,0.0053,0.0033,9,1,1
1043.a3.txt,0.015,0.0087,0.0058,0.0053,5,7,2
1048.a3.txt,0.0205,0.0104,0.0047,0.0046,0,3,0
