Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG,N_WORDS
0103.b4.txt,1336.371,1138.952,592.255,455.581,59,6,4,1317
0105.b4.txt,1209.262,1166.381,523.156,548.885,49,1,5,1166
0107.b4.txt,1806.452,1240.143,652.33,243.728,35,3,6,1395
0139.b4.txt,1523.49,1073.826,516.779,308.725,58,2,11,1490
0140.b4.txt,1162.407,1129.431,395.713,469.909,73,4,10,1213
0158.b4.txt,1377.871,1203.897,605.428,563.674,37,2,1,1437
0165.b4.txt,1168.731,998.452,433.437,371.517,61,6,10,1292
0178.b4.txt,1532.876,1089.149,653.489,625.252,60,5,0,2479
0200.b4.txt,1229.282,959.945,704.42,718.232,44,1,4,1448
0219.b4.txt,1533.457,920.074,483.271,418.216,38,1,3,1076
0300.b4.txt,1581.59,1112.971,451.883,334.728,34,1,13,1195
0308.b4.txt,1353.899,1036.847,531.277,565.553,39,6,1,1167
0310.b4.txt,1522.491,1107.266,663.206,397.924,52,2,4,1734
0318.b4.txt,1406.756,939.38,374.826,351.689,65,10,7,2161
1003.b4.txt,1572.2,1153.846,492.578,209.177,54,6,3,1482
1021.b4.txt,1370.906,1081.493,479.817,403.656,69,5,11,1313
1023.b4.txt,1253.197,946.292,805.627,792.839,33,0,12,782
1057.b4.txt,1428.571,1128.827,465.561,350.765,53,3,4,1568
1069.b4.txt,1254.098,1172.131,557.377,704.918,53,2,7,1220
1097.b4.txt,1475.41,1081.967,557.377,465.574,59,0,9,1525
1100.b4.txt,1514.615,1062.888,478.299,301.151,56,9,5,1129
1112.b4.txt,1344.806,1210.962,446.144,420.65,60,2,11,1569
1508.b4.txt,1290.087,1093.294,488.338,313.411,98,11,8,1372
1520.b4.txt,1274.631,966.749,578.818,406.404,82,13,4,1624
1528.b4.txt,1389.446,1142.285,527.722,527.722,51,0,11,1497
1532.b4.txt,1192.197,1148.844,390.173,520.231,72,5,10,1384
2018.b4.txt,1243.863,1358.429,409.165,368.249,70,2,8,1222
2030.b4.txt,1306.778,1160.028,489.168,419.287,57,1,9,1431
2034.b4.txt,1316.78,872.837,632.054,361.174,55,2,14,1329
